Subject,Predicate,Object
关于粮食的统购统销问题,报告,陈云
签订亚洲和太平洋地区集体和平公约,提议,周恩来总理
会议,听取,李富春
会议,听取,李先念
会议,听取,彭德怀
会议,听取,彭真
会议,听取,邓子恢
会议,听取,陈云
签订亚洲和太平洋地区集体和平公约,提出,周恩来总理
会议,听取,李富春
会议,听取,李先念
会议,听取,彭德怀
会议,听取,彭真
会议,听取,邓子恢
会议,听取,陈云
《中华人民共和国发展国民经济的第一个五年计划(1953-1957)》,通过,会议
《关于根治黄河水害和开发黄河水利的综合规划的决议》,通过,会议
《中华人民共和国兵役法》,通过,会议
《关于授权常务委员会制定单行法规的决议》,通过,会议
《中华人民共和国发展国民经济的第一个五年计划(1953-1957)》,通过,会议
《关于根治黄河水害和开发黄河水利的综合规划的决议》,通过,会议
《中华人民共和国兵役法》,通过,会议
《关于授权常务委员会制定单行法规的决议》,通过,会议
中华人民共和国兵役法,批准,会议
《中华人民共和国发展国民经济的第一个五年计划(1953-1957)》,通过,会议
《关于根治黄河水害和开发黄河水利的综合规划的决议》,通过,会议
《中华人民共和国兵役法》,通过,会议
《中华人民共和国发展国民经济的第一个五年计划(1953-1957)》,通过,会议
《关于根治黄河水害和开发黄河水利的综合规划的决议》,通过,会议
《中华人民共和国兵役法》,通过,会议
《关于授权常务委员会制定单行法规的决议》,通过,会议
会议,决定,《中华人民共和国发展国民经济的第一个五年计划(1953-1957)》
会议,决定,《关于根治黄河水害和开发黄河水利的综合规划的决议》
会议,决定,《中华人民共和国兵役法》
会议,决定,《关于授权常务委员会制定单行法规的决议》
会议,决定,关于撤销热河省、西康省并修改中华人民共和国地方各级人民代表大会和地方各级人民委员会组织法第二十五条第二款第一项规定的决议
会议,决定,关于撤销燃料工业部、设立煤炭工业部、电力工业部、石油工业部、农产品采购部，并修改中华人民共和国国务院组织法第二条第一款条、文的决议
中华人民共和国兵役法,通过,会议
会议,选举,人选
人选,决定,会议
会议,决定,人选
1955年国家决算和1956年国家预算,批准,会议
高级农业生产合作社示范章程,批准,会议
全国人大常委会工作报告,批准,会议
会议,听取,李先念
高级农业生产合作社示范章程,通过,会议
全国人大常委会工作报告,通过,会议
高级农业生产合作社示范章程,通过,会议
1955年国家决算和1956年国家预算,批准,会议
高级农业生产合作社示范章程,批准,会议
1955年国家决算和1956年国家预算,批准,会议
高级农业生产合作社示范章程,批准,会议
全国人大常委会工作报告,批准,会议
高级农业生产合作社示范章程,通过,会议
关于全国人大常委会工作报告的决议,通过,会议
关于修改地方各级人民代表大会和地方各级人民委员会组织法第二十五条第二款第四项第五项规定的决议,通过,会议
1955年国家决算和1956年国家预算,批准,会议
高级农业生产合作社示范章程,通过,会议
全国人大常委会工作报告,通过,会议
高级农业生产合作社示范章程,批准,会议
1955年国家决算和1956年国家预算,批准,会议
高级农业生产合作社示范章程,批准,会议
全国人大常委会工作报告,批准,会议
关于1955年国家决算和1956年国家预算的报告,报告,李先念
全国人大常委会工作报告,报告,彭真
会议,决定,批准1955年国家决算和1956年国家预算
会议,决定,通过了《高级农业生产合作社示范章程》
会议,决定,通过了关于全国人大常委会工作报告的决议
会议,决定,通过了关于修改地方各级人民代表大会和地方各级人民委员会组织法第二十五条第二款第四项第五项规定的决议
会议,发言,廖鲁言
会议,发言,彭真
会议,发言,陈云
会议,发言,李维汉
会议,发言,周恩来
会议,听取,李先念
高级农业生产合作社示范章程,通过,会议
1955年国家决算和1956年国家预算,批准,会议
高级农业生产合作社示范章程,发言,廖鲁言
全国人大常委会工作报告,发言,彭真
商业工作与工商关系问题,发言,陈云
关于统一战线,发言,李维汉
目前国际形势、中国外交政策和解放台湾问题,发言,周恩来
会议,听取,李先念
会议,批准,1955年国家决算和1956年国家预算
会议,听取,周恩来总理所作的《政府工作报告》和《关于中缅边界问题的报告》
会议,听取,国务院副总理兼财政部长李先念《关于1956年国家决算和1957年国家预算草案的报告》
会议,听取,国务院副总理兼国家经济委员会主任薄一波《关于1956年度国民经济计划的执行结果和1957年度国民经济计划草案的报告》
会议,听取,最高人民检察院检察长张鼎丞作关于1956年以来检察工作情况的报告
会议,听取,最高人民法院院长董必武《关于最高人民法院工作报告》
会议,听取,全国人大常委会副委员长彭真《全国人大常委会工作报告》
会议,听取,国务院副总理兼民族事务委员会主任乌兰夫《关于建立广西壮族自治区和宁夏回族自治区的报告》
决议,通过,批准政府工作报告
决议,通过,批准1956年国家决算
决议,通过,批准1957年度国民经济计划
决议,通过,批准全国人大常委会工作报告、最高人民法院和检察院工作报告
政府工作报告,批准,会议
1956年国家决算,批准,会议
1957年国家预算,批准,会议
决议,通过,会议
政府工作报告,批准,会议
1956年国家决算,批准,会议
1957年国家预算,批准,会议
1957年度国民经济计划,批准,会议
全国人大常委会工作报告,批准,会议
会议,听取,周恩来总理所作的《政府工作报告》和《关于中缅边界问题的报告》
会议,听取,国务院副总理兼财政部长李先念《关于1956年国家决算和1957年国家预算草案的报告》
会议,听取,国务院副总理兼国家经济委员会主任薄一波《关于1956年度国民经济计划的执行结果和1957年度国民经济计划草案的报告》
会议,听取,最高人民检察院检察长张鼎丞作关于1956年以来检察工作情况的报告
会议,听取,最高人民法院院长董必武《关于最高人民法院工作报告》
会议,听取,全国人大常委会副委员长彭真《全国人大常委会工作报告》
会议,听取,国务院副总理兼民族事务委员会主任乌兰夫《关于建立广西壮族自治区和宁夏回族自治区的报告》
决议,决定,批准政府工作报告
决议,决定,批准1956年国家决算
决议,决定,批准1957年度国民经济计划
决议,决定,批准全国人大常委会工作报告、最高人民法院和检察院工作报告
会议,听取,周恩来总理所作的《政府工作报告》和《关于中缅边界问题的报告》
会议,听取,国务院副总理兼财政部长李先念《关于1956年国家决算和1957年国家预算草案的报告》
会议,听取,国务院副总理兼国家经济委员会主任薄一波《关于1956年度国民经济计划的执行结果和1957年度国民经济计划草案的报告》
会议,听取,最高人民检察院检察长张鼎丞作关于1956年以来检察工作情况的报告
会议,听取,最高人民法院院长董必武《关于最高人民法院工作报告》
会议,听取,全国人大常委会副委员长彭真《全国人大常委会工作报告》
会议,听取,国务院副总理兼民族事务委员会主任乌兰夫《关于建立广西壮族自治区和宁夏回族自治区的报告》
政府工作报告,批准,会议
1956年国家决算,批准,会议
1957年国家预算,批准,会议
决议,通过,会议
1958年国家预算,批准,会议
会议,听取,李先念
会议,听取,薄一波
会议,听取,吴玉章
会议,听取,周恩来
决议,通过,修正批准1958年国家预算
决议,通过,批准1958年度国民经济计划
决议,通过,批准人大常委会工作报告
决议,通过,批准《汉语拼音方案》
决定,通过,通过
关于1957年国家预算执行情况和1958年国家预算及1958年度国民经济计划的决议,通过,决议
关于1957年国家预算执行情况和1958年国家预算草案的报告,通过,决议
关于1957年国家预算执行情况和1958年国家预算及1958年度国民经济计划的决议,通过,批准
关于1957年国家预算执行情况和1958年国家预算草案的报告,通过,修正批准
关于人大常委会工作报告的决议,通过,决议
关于汉语拼音方案的决议,通过,决议
关于调整国务院所属组织机构的决定,通过,通过
关于将直辖市天津市改为河北省省辖市的决议,通过,决议
关于中国科学院院长副院长任免问题的决议,通过,决议
1958年国家预算,批准,会议
1958年度国民经济计划,批准,会议
决议,通过,会议
1958年国家预算,批准,会议
关于1957年国家预算执行情况和1958年国家预算及1958年度国民经济计划的决议,通过,批准
1958年国家预算,批准,会议
1958年度国民经济计划,批准,会议
人大常委会工作报告,批准,会议
《汉语拼音方案》,批准,会议
1958年国家预算草案,报告,李先念
1958年度国民经济计划草案,报告,薄一波
1958年度国民经济计划,批准,会议
关于调整国务院所属组织机构的决定,决定,决定
会议,听取,李先念
会议,听取,薄一波
会议,听取,吴玉章
会议,听取,周恩来
关于1957年国家预算执行情况和1958年国家预算及1958年度国民经济计划的决议,通过,通过
关于1957年国家预算执行情况和1958年国家预算草案的报告,通过,原则批准
关于1958年度国民经济计划草案的报告,通过,批准
关于1957年国家预算执行情况和1958年国家预算草案的报告,听取,李先念
关于1958年度国民经济计划草案的报告,听取,薄一波
关于当前文字改革工作和汉语拼音方案的报告,听取,吴玉章
关于目前国际形势和中国外交政策的报告,听取,周恩来总理
程潜,选举,第一届全国人大常委会副委员长
全国人民代表大会会议,提议,全国人民代表大会代表
全国人民代表大会,选举,全国人民代表大会常务委员会委员长、副委员长、秘书长、委员
全国人民代表大会,选举,中华人民共和国主席、副主席
全国人民代表大会,选举,国务院总理
全国人民代表大会,选举,中央军事委员会主席
全国人民代表大会,选举,最高人民法院院长
全国人民代表大会,选举,最高人民检察院检察长
国民经济和社会发展计划,批准,全国人民代表大会
国家预算,批准,全国人民代表大会
国民经济和社会发展计划,批准,全国人民代表大会
国家的预算,批准,全国人民代表大会
国民经济和社会发展计划,批准,全国人民代表大会
国民经济和社会发展计划,批准,全国人民代表大会
国家的预算,批准,全国人民代表大会
国民经济和社会发展计划,批准,全国人民代表大会
国民经济和社会发展计划,批准,全国人民代表大会常务委员会
国家预算,批准,全国人民代表大会常务委员会
条约,批准,全国人民代表大会常务委员会
协定,批准,全国人民代表大会常务委员会
特赦,批准,全国人民代表大会常务委员会
国民经济和社会发展计划,批准,全国人民代表大会常务委员会
国民经济和社会发展计划,批准,全国人民代表大会常务委员会
国家预算,批准,全国人民代表大会常务委员会
国民经济和社会发展计划,批准,全国人民代表大会常务委员会
国家预算,批准,全国人民代表大会常务委员会
条约,批准,全国人民代表大会常务委员会
行政法规,批准,全国人民代表大会常务委员会
地方性法规,批准,全国人民代表大会常务委员会
决议,批准,全国人民代表大会常务委员会
特赦,决定,全国人民代表大会常务委员会
国民经济和社会发展计划,批准,全国人民代表大会常务委员会
国家预算,批准,全国人民代表大会常务委员会
条约,批准,全国人民代表大会常务委员会
行政法规,批准,全国人民代表大会常务委员会
地方性法规,批准,全国人民代表大会常务委员会
庆祝全国人民代表大会成立六十周年,发言,习近平主席
